type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:53,45.505415,-73.55641,7.2,,
T,30/12/2017 20:54,45.505431,-73.556289,4.5,,
T,30/12/2017 20:54,45.505504,-73.556215,6.3,,
T,30/12/2017 20:54,45.505585,-73.556168,14.7,,
T,30/12/2017 20:54,45.505656,-73.55615,23.1,,
T,30/12/2017 20:54,45.505745,-73.556112,29.8,,
T,30/12/2017 20:54,45.505821,-73.556065,30,,
T,30/12/2017 20:55,45.505893,-73.556013,28.8,,
T,30/12/2017 20:55,45.505956,-73.55595,29.2,,
T,30/12/2017 20:55,45.50604,-73.555842,28.3,,
T,30/12/2017 20:55,45.506019,-73.555532,27.3,,
T,30/12/2017 20:55,45.505847,-73.554998,21.3,,
T,30/12/2017 20:55,45.505727,-73.554505,11.3,,
T,30/12/2017 20:56,45.505596,-73.554116,6.8,,
T,30/12/2017 20:56,45.50558,-73.553991,0.6,,
T,30/12/2017 20:56,45.50552,-73.553806,-2.6,,
T,30/12/2017 20:56,45.505385,-73.553496,-4.4,,
T,30/12/2017 20:56,45.505355,-73.553387,-9.7,,
T,30/12/2017 20:56,45.505298,-73.553293,-12.5,,
T,30/12/2017 20:56,45.505092,-73.553357,-12.4,,
T,30/12/2017 20:56,45.504825,-73.55345,-11.8,,
T,30/12/2017 20:56,45.504442,-73.55357,-8.9,,
T,30/12/2017 20:56,45.504103,-73.553684,-8.3,,
T,30/12/2017 20:57,45.503717,-73.553818,-6.5,,
T,30/12/2017 20:57,45.503481,-73.553895,-6.3,,
T,30/12/2017 20:57,45.503283,-73.554022,-10.9,,
T,30/12/2017 20:57,45.50309,-73.55424,-15.9,,
T,30/12/2017 20:57,45.502984,-73.554321,-16.9,,
T,30/12/2017 20:57,45.502782,-73.55448,-15.4,,
T,30/12/2017 20:57,45.502575,-73.554657,-16.3,,
T,30/12/2017 20:57,45.502484,-73.554698,-16,,
T,30/12/2017 20:57,45.502319,-73.554849,-15.4,,
T,30/12/2017 20:57,45.502079,-73.55501,-17.1,,
T,30/12/2017 20:57,45.501932,-73.555096,-17.2,,
T,30/12/2017 20:57,45.501632,-73.55529,-16.8,,
T,30/12/2017 20:57,45.501297,-73.555512,-16.6,,
T,30/12/2017 20:57,45.501071,-73.555681,-19.4,,
T,30/12/2017 20:58,45.500983,-73.555743,-20.9,,
T,30/12/2017 20:58,45.500799,-73.555897,-22.3,,
T,30/12/2017 20:58,45.500645,-73.556059,-26,,
T,30/12/2017 20:58,45.500464,-73.556237,-26.4,,
T,30/12/2017 20:58,45.500241,-73.556444,-25.6,,
T,30/12/2017 20:58,45.500125,-73.55656,-23.4,,
T,30/12/2017 20:58,45.500075,-73.556661,-20.9,,
T,30/12/2017 20:58,45.500145,-73.556996,-19.1,,
T,30/12/2017 20:58,45.500337,-73.557547,-19.9,,
T,30/12/2017 20:58,45.500488,-73.558002,-19.7,,
T,30/12/2017 20:58,45.500563,-73.55815,-20.9,,
T,30/12/2017 20:59,45.50062,-73.558243,-19.1,,
T,30/12/2017 20:59,45.50077,-73.558688,-15.3,,
T,30/12/2017 20:59,45.500927,-73.559171,-14.4,,
T,30/12/2017 20:59,45.501032,-73.559478,-16.6,,
T,30/12/2017 20:59,45.501107,-73.559499,-11.9,,
T,30/12/2017 20:59,45.501247,-73.559432,-2.2,,
T,30/12/2017 20:59,45.501328,-73.559446,-9.4,,
