GPSHeading,GPSAltitude,GPSLatitude,VerticalAccuracy,TimeStamp,GPSLongitude,GPSSpeed,HorizontalAccuracy
201,-14,45.49331284,10,1514759487,-73.56237793,9.309570313,10
200,-14,45.49324417,11,1514759488,-73.56240845,8.419921875,11
194,-15,45.49316025,12,1514759489,-73.56242371,8.009765625,12
209,-14,45.49312973,11,1514759490,-73.56243134,4.83984375,11
205,-14,45.49307632,11,1514759491,-73.56245422,5.549804688,11
233,-13,45.49306488,12,1514759492,-73.56253815,5.16015625,12
253,-12,45.49305725,13,1514759493,-73.56264496,6.370117188,13
254,-12,45.49304962,14,1514759494,-73.56269073,4.75,14
256,-12,45.49304581,15,1514759495,-73.5627594,5.219726563,15
278,-12,45.49307251,17,1514759496,-73.56290436,7.330078125,17
293,-12,45.49312592,16,1514759497,-73.56299591,8.110351563,16
296,-13,45.49315643,17,1514759498,-73.56310272,8.48046875,17
302,-13,45.49320984,17,1514759499,-73.56318665,7.900390625,17
301,-12,45.49328613,16,1514759500,-73.56330109,9.450195313,16
309,-13,45.49332809,16,1514759501,-73.5633316,5.629882813,16
309,-12,45.49336243,17,1514759502,-73.5634079,6.200195313,17
296,-12,45.49333572,15,1514759503,-73.5634079,2.469726563,15
301,-12,45.49336243,14,1514759504,-73.56344604,4.169921875,14
313,-9,45.49341965,14,1514759505,-73.56349182,4.259765625,14
222,-9,45.49328995,13,1514759506,-73.5635376,5.190429688,13
226,-8,45.49324417,14,1514759507,-73.56357574,5.530273438,14
